epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
47;0.2751089036464691;0.89891696;0.6572162445776454;0.9008018601134251;0.5995975855130785;0.9041096;0.810111;0.9878683;0.33064923;0.887337;0.5524264540850131;0.855032040938638;0.2835637032985687;0.5034324942791762;0.8973434;0.7109827;0.9820531;0.2821101
48;0.2754456400871277;0.90109664;0.6501241667369232;0.8995199932379118;0.5880281690140845;0.9174837;0.7198028;0.9731369;0.44086564;0.8860956;0.5453907080008722;0.8565649347655709;0.2864893972873688;0.4840182648401826;0.90958345;0.6282528;0.96410626;0.38761467
49;0.27810731530189514;0.9008242;0.6543533215581901;0.9010978798776259;0.5973829894313035;0.91026574;0.7695432;0.98211753;0.38147962;0.8867163;0.5498564946088682;0.858389259534896;0.2819201648235321;0.5137614678899083;0.9039039;0.6577778;0.9723618;0.33944955
50;0.2773973047733307;0.8995981;0.6517194497598053;0.8973659256254358;0.5918878317476214;0.90593344;0.7979094;0.9862927;0.34574735;0.8879578;0.5469786434481891;0.8522280471821757;0.2853683531284332;0.517162471395881;0.900033;0.6963351;0.97918165;0.30504587
51;0.27468398213386536;0.9031401;0.6601332864872759;0.9014475610294708;0.5974874371859297;0.91859776;0.7321282;0.97431856;0.44841468;0.8867163;0.5537623774130502;0.8571988382278364;0.28482377529144287;0.518348623853211;0.9107567;0.6290909;0.9633884;0.39678898
52;0.27510908246040344;0.9049792;0.6659522241365453;0.9030979212684561;0.6048265460030166;0.9193824;0.7446281;0.9756578;0.4534474;0.88268155;0.5535965286904437;0.8553251183835296;0.2862142324447632;0.5114678899082569;0.9095238;0.6028369;0.959799;0.38990825
53;0.27604979276657104;0.9012329;0.6570630957158948;0.9016616317074059;0.5980885311871227;0.9093491;0.7835269;0.98385066;0.37342727;0.88919926;0.5501019585248879;0.8563591219531471;0.2883729934692383;0.5160550458715596;0.90362245;0.685446;0.9759512;0.33486238
54;0.2790394127368927;0.90239084;0.6679638043009262;0.9043897195644385;0.6066398390342053;0.90886647;0.8043956;0.98597765;0.36839455;0.88702667;0.5527580831748599;0.8551127195611082;0.283748060464859;0.5191873589164786;0.9009934;0.6782178;0.9766691;0.3142202
55;0.27577027678489685;0.8993938;0.6630276176231352;0.904471589357926;0.6063348416289592;0.90299636;0.8337696;0.9899953;0.3205838;0.8867163;0.544574342002115;0.8555210521809572;0.2867054045200348;0.5045871559633027;0.8970154;0.70520234;0.98169416;0.2798165
56;0.27524903416633606;0.90225464;0.6605541956109917;0.9046450423102298;0.5998993457473578;0.91232693;0.7684825;0.981251;0.3975843;0.8867163;0.5416951566443949;0.8540951810164847;0.2872653007507324;0.5034324942791762;0.90336555;0.6606335;0.9730797;0.33486238
57;0.27261823415756226;0.9049792;0.6694748695903027;0.9049896883706595;0.6074484146955209;0.9151907;0.7756052;0.98101467;0.41922495;0.8895096;0.5493077549718266;0.8531295073005921;0.2851640582084656;0.518348623853211;0.9066265;0.67094016;0.9723618;0.36009175
58;0.2751491963863373;0.90279955;0.6685419840033147;0.9042246121770396;0.6116700201207244;0.90956014;0.8023758;0.9855837;0.37393054;0.8851645;0.5453272590834005;0.8520691596909844;0.28625595569610596;0.5091743119266054;0.9015958;0.6542056;0.9734386;0.32110092
59;0.2761533558368683;0.90150535;0.6603016905615241;0.9033395660100086;0.6014091595369905;0.9112915;0.76861966;0.98164487;0.38953197;0.8860956;0.547003090054353;0.8567337012717585;0.2878570258617401;0.5;0.9030323;0.6561086;0.97272074;0.3325688
60;0.27163073420524597;0.9017778;0.6647850654106677;0.9037351180340402;0.6024157020634122;0.90946144;0.78958553;0.98440206;0.37393054;0.88702667;0.5477493993684787;0.8555934982909303;0.2891044616699219;0.502283105022831;0.9025931;0.6682243;0.97451544;0.32798165
61;0.2761324942111969;0.90225464;0.6694776045790176;0.9067142666500363;0.6064418721690992;0.90879387;0.8032967;0.98589885;0.36789128;0.8904407;0.54242783733098;0.8517703194873448;0.288381963968277;0.5011441647597255;0.9021488;0.7106599;0.9795406;0.32110092
62;0.2765221893787384;0.9021184;0.6665575349815038;0.9043762794385343;0.6044287871162557;0.90949434;0.7938034;0.984796;0.37393054;0.8888889;0.5488113702729651;0.8585012217048545;0.2824551463127136;0.497737556561086;0.9030545;0.6857143;0.97631013;0.33027524
63;0.27038484811782837;0.9038213;0.6731401312738853;0.9068422848404342;0.6094614997483644;0.91085213;0.8023133;0.98518986;0.38399598;0.88982;0.5501388501402497;0.8572342380315734;0.2826969623565674;0.5022935779816514;0.9031509;0.6956522;0.97738695;0.33027524
64;0.2728801667690277;0.9016416;0.669248873608647;0.9053022605023084;0.6071428571428571;0.90701884;0.815331;0.9874744;0.35329643;0.88764745;0.5428452385594212;0.8529471571487847;0.28619861602783203;0.5022935779816514;0.89973617;0.69473684;0.97918165;0.3027523
65;0.2715194523334503;0.9041619;0.6656931400101003;0.9046784245698507;0.6039255158530448;0.91609526;0.7593918;0.9788089;0.4272773;0.88640594;0.5447814839783728;0.8540350836752569;0.28919535875320435;0.49777777777777776;0.9057679;0.6458333;0.9694903;0.35550457
66;0.27148425579071045;0.90388936;0.6773649871086199;0.907781032041498;0.6114745848012079;0.91032076;0.8090129;0.98597765;0.37946653;0.88702667;0.5450030187483532;0.8532883947917833;0.28588366508483887;0.5080091533180778;0.9023256;0.6698113;0.9748744;0.32568806
67;0.2725372910499573;0.90504736;0.6686375692348286;0.9055531032061321;0.6049320583794665;0.91945064;0.74483895;0.9756578;0.45395067;0.88547486;0.5453722130705793;0.8566184460968013;0.28707531094551086;0.518348623853211;0.9095222;0.6236162;0.9633884;0.38761467
68;0.26945263147354126;0.90388936;0.6694871870268799;0.9060190275708127;0.6071428571428571;0.91145796;0.79690725;0.98448086;0.3890287;0.88485414;0.5467269250976928;0.8594561931545013;0.2849157750606537;0.5022935779816514;0.90236586;0.64705884;0.97200286;0.32798165
69;0.27299243211746216;0.90463865;0.6721651518612164;0.9070694982963551;0.6079516859587317;0.91200936;0.8010256;0.9847172;0.39305484;0.887337;0.5468352114979195;0.8588535732397242;0.2876935601234436;0.5056947608200456;0.902358;0.6729858;0.9752333;0.32568806
70;0.2710692286491394;0.90245897;0.6655315586505685;0.9044079965498125;0.5953699043784599;0.92408496;0.69779044;0.9665984;0.49270257;0.8823712;0.5490187906293942;0.8583299854449178;0.29022568464279175;0.505720823798627;0.9134318;0.5916399;0.9544149;0.42201835
71;0.2728252708911896;0.90225464;0.6751913136359798;0.9076196514146744;0.6119778560644187;0.9082602;0.80941707;0.98660785;0.36336187;0.887337;0.5424984996908895;0.8554905918847183;0.28669196367263794;0.5011389521640092;0.8994395;0.6931217;0.97918165;0.30045873
72;0.27332818508148193;0.90388936;0.677409530051077;0.9091602902718308;0.6092415871421396;0.911518;0.7962963;0.98440206;0.38953197;0.88640594;0.548235266697629;0.8569057607829449;0.28715425729751587;0.5091743119266054;0.9011936;0.6699029;0.97559226;0.31651375
73;0.2699437737464905;0.9056604;0.6729428082726464;0.9075005734850184;0.6049320583794665;0.915375;0.7818352;0.98164487;0.4202315;0.88702667;0.5510653178043114;0.8570835830528791;0.2890114486217499;0.5091324200913242;0.904746;0.65652174;0.9716439;0.34633029
74;0.2690756320953369;0.9067502;0.6862685467782067;0.9122657919298823;0.6215400100654253;0.9131101;0.81724846;0.98597765;0.40060392;0.88764745;0.5458087168325613;0.852530180390814;0.28601083159446716;0.494279176201373;0.90212345;0.67788464;0.9759512;0.3233945
75;0.27067089080810547;0.9056604;0.6707296989285045;0.9089521070826768;0.6091549295774648;0.91894495;0.754223;0.97707576;0.44942123;0.8842334;0.5446430256118288;0.8548970277336881;0.28859350085258484;0.4954954954954955;0.9080149;0.61886793;0.9637473;0.3761468
76;0.269626259803772;0.90593284;0.6883598525905549;0.9125248810826383;0.6244979919678715;0.91303396;0.80730224;0.9850323;0.40060392;0.8842334;0.5479401863374994;0.8521547778209526;0.2869354486465454;0.4954337899543379;0.8993711;0.6567164;0.9752333;0.3027523
77;0.2712051570415497;0.9047068;0.684863209208554;0.9114592456132656;0.622546552591847;0.91117585;0.81078225;0.98589885;0.38600907;0.8860956;0.5475586554487956;0.8543100495926553;0.28539225459098816;0.4977168949771689;0.9003641;0.67164177;0.97631013;0.30963302
78;0.267836332321167;0.903072;0.6756531925632299;0.9093661145008332;0.6109713135379969;0.9110803;0.79012346;0.9839294;0.38651234;0.88702667;0.5494856272988152;0.8559458498258;0.28709959983825684;0.5160550458715596;0.9015252;0.6747573;0.9759512;0.31880733
79;0.27251312136650085;0.90647775;0.6739850835193318;0.9081093041432301;0.6054353296426774;0.9183357;0.7669565;0.9788877;0.44388527;0.8882682;0.5479309633627886;0.8558231853895956;0.289862722158432;0.5022935779816514;0.9073203;0.6557377;0.9698492;0.36697248
80;0.2688993811607361;0.90422994;0.684901156059956;0.9100341759803303;0.614185110663984;0.9091041;0.82824856;0.98802584;0.36889783;0.8888889;0.5522037441364003;0.8552419700073105;0.2890430688858032;0.5056433408577878;0.899605;0.7119565;0.9809763;0.30045873
81;0.27163487672805786;0.906614;0.6846023943950295;0.9100164540444035;0.614185110663984;0.91613376;0.78624535;0.9818812;0.42576748;0.8823712;0.5501035637184465;0.8534283475042315;0.2869046628475189;0.5170842824601367;0.90318257;0.62025315;0.9676956;0.33715597
82;0.2712049186229706;0.90538794;0.6803892164770622;0.9104051075967319;0.61852038248616;0.9129831;0.80080485;0.98440206;0.40060392;0.887337;0.5526952535859672;0.8550098131548963;0.28780025243759155;0.518348623853211;0.9031614;0.66820276;0.9741565;0.3325688
83;0.273672878742218;0.90777194;0.6884952544810913;0.9120135219560513;0.6201705970898144;0.91857374;0.7788546;0.9802269;0.4448918;0.8867163;0.5541930932504138;0.8537930478078465;0.2847519814968109;0.5160550458715596;0.9063444;0.6460905;0.96913135;0.36009175
84;0.27063143253326416;0.9077038;0.6862623540882979;0.9109189446226374;0.6160040261701056;0.91531754;0.80679613;0.9843233;0.41821843;0.8867163;0.5530624755139877;0.8545545552138148;0.28705841302871704;0.5114678899082569;0.9020259;0.66824645;0.9748744;0.3233945
85;0.2673404812812805;0.9049111;0.687712311045311;0.9120510670865273;0.6235530951182687;0.9115547;0.8094241;0.9856625;0.3890287;0.8879578;0.5467723135401408;0.8474087343664587;0.29417145252227783;0.5091743119266054;0.90188926;0.68292683;0.9766691;0.32110092
86;0.2684851586818695;0.9049792;0.6900763107621595;0.9123498224515757;0.62625250501002;0.91180116;0.8076923;0.9854262;0.3910418;0.88764745;0.5436317049783034;0.8502341326554134;0.29347631335258484;0.5091743119266054;0.9026578;0.6745283;0.9752333;0.32798165
